,,,Deutsch,Französisch,Italienisch,Rätoromanisch
Zivilrechtlicher Wohnsitz,Schweiz,Staatsangehörigkeit - Total,4639870,1484928,470801,35097
,- Kanton Zürich,Staatsangehörigkeit - Total,1028360,16362,47845,2185
,>> Bezirk Affoltern,Staatsangehörigkeit - Total,37646,362,1100,64
,......0001 Aeugst am Albis,Staatsangehörigkeit - Total,1459,13,9,1
,......0002 Affoltern am Albis,Staatsangehörigkeit - Total,8428,78,512,14
,......0003 Bonstetten,Staatsangehörigkeit - Total,3549,33,72,9
,......0004 Hausen am Albis,Staatsangehörigkeit - Total,2882,14,39,1
,......0005 Hedingen,Staatsangehörigkeit - Total,2682,30,91,9
,......0006 Kappel am Albis,Staatsangehörigkeit - Total,839,6,2,0
,......0007 Knonau,Staatsangehörigkeit - Total,1333,9,38,0
,......0008 Maschwanden,Staatsangehörigkeit - Total,551,2,3,0
,......0009 Mettmenstetten,Staatsangehörigkeit - Total,3455,20,57,2
,......0010 Obfelden,Staatsangehörigkeit - Total,3790,31,164,13
,......0011 Ottenbach,Staatsangehörigkeit - Total,2059,18,35,4
,......0012 Rifferswil,Staatsangehörigkeit - Total,710,5,2,1
,......0013 Stallikon,Staatsangehörigkeit - Total,2382,49,26,3
,......0014 Wettswil am Albis,Staatsangehörigkeit - Total,3527,54,50,7
,>> Bezirk Andelfingen,Staatsangehörigkeit - Total,25123,127,311,27
,......0021 Adlikon,Staatsangehörigkeit - Total,579,1,0,0
,......0022 Benken (ZH),Staatsangehörigkeit - Total,667,10,4,0
,......0023 Berg am Irchel,Staatsangehörigkeit - Total,556,2,3,1
,......0024 Buch am Irchel,Staatsangehörigkeit - Total,728,1,0,0
,......0025 Dachsen,Staatsangehörigkeit - Total,1485,10,24,2
,......0026 Dorf,Staatsangehörigkeit - Total,574,2,1,0
,......0027 Feuerthalen,Staatsangehörigkeit - Total,2673,10,90,2
,......0028 Flaach,Staatsangehörigkeit - Total,1069,4,5,4
,......0029 Flurlingen,Staatsangehörigkeit - Total,1200,7,11,1
,......0030 Andelfingen,Staatsangehörigkeit - Total,1492,5,64,0
,......0031 Henggart,Staatsangehörigkeit - Total,1537,11,17,0
,......0032 Humlikon,Staatsangehörigkeit - Total,388,6,2,2
,......0033 Kleinandelfingen,Staatsangehörigkeit - Total,1678,8,37,1
,......0034 Laufen-Uhwiesen,Staatsangehörigkeit - Total,1367,6,5,1
,......0035 Marthalen,Staatsangehörigkeit - Total,1721,11,10,7
,......0036 Oberstammheim,Staatsangehörigkeit - Total,1023,7,7,0
,......0037 Ossingen,Staatsangehörigkeit - Total,1216,4,6,3
,......0038 Rheinau,Staatsangehörigkeit - Total,1440,13,13,1
,......0039 Thalheim an der Thur,Staatsangehörigkeit - Total,596,2,1,0
,......0040 Trüllikon,Staatsangehörigkeit - Total,956,1,5,0
,......0041 Truttikon,Staatsangehörigkeit - Total,423,0,2,1
,......0042 Unterstammheim,Staatsangehörigkeit - Total,833,2,1,1
,......0043 Volken,Staatsangehörigkeit - Total,249,0,1,0
,......0044 Waltalingen,Staatsangehörigkeit - Total,673,4,2,0
,>> Bezirk Bülach,Staatsangehörigkeit - Total,91589,1470,4261,210
,......0051 Bachenbülach,Staatsangehörigkeit - Total,2455,49,145,5
,......0052 Bassersdorf,Staatsangehörigkeit - Total,6408,91,282,8
,......0053 Bülach,Staatsangehörigkeit - Total,11750,153,645,19
,......0054 Dietlikon,Staatsangehörigkeit - Total,5199,96,325,17
,......0055 Eglisau,Staatsangehörigkeit - Total,2613,30,85,4
,......0056 Embrach,Staatsangehörigkeit - Total,6427,94,239,24
,......0057 Freienstein-Teufen,Staatsangehörigkeit - Total,1922,15,46,2
,......0058 Glattfelden,Staatsangehörigkeit - Total,3076,18,132,6
,......0059 Hochfelden,Staatsangehörigkeit - Total,1398,22,38,1
,......0060 Höri,Staatsangehörigkeit - Total,1776,13,216,1
,......0061 Hüntwangen,Staatsangehörigkeit - Total,768,4,6,0
,......0062 Kloten,Staatsangehörigkeit - Total,13286,335,690,41
,......0063 Lufingen,Staatsangehörigkeit - Total,1034,13,20,0
,......0064 Nürensdorf,Staatsangehörigkeit - Total,4103,52,98,5
